Frame Info: 
Type,Infrared 1
Format,Y8
Frame Number,15599
Timestamp (ms),1747154151926.13
Resolution x,1280
Resolution y,720
Bytes per pixel,1

Intrinsic:,
Fx,654.236755
Fy,654.236755
PPx,645.963501
PPy,360.557404
Distorsion,Brown Conrady
